id,key,value,type
21390205,created_by,JOSM,regular
21390206,created_by,JOSM,regular
21390207,created_by,JOSM,regular
21390209,created_by,JOSM,regular
25587789,foot,yes,regular
25587789,horse,yes,regular
25587789,barrier,gate,regular
25587789,bicycle,yes,regular
25587789,motorcar,yes,regular
25587789,motorcycle,yes,regular
25596601,railway,level_crossing,regular
25596613,name,South Beach,regular
25596613,disused,yes,regular
25596613,railway,station,regular
25596681,railway,level_crossing,regular
25596747,highway,traffic_signals,regular
25596934,highway,traffic_signals,regular
25607986,highway,turning_circle,regular
25608034,highway,turning_circle,regular
25608841,highway,traffic_signals,regular
25609346,highway,traffic_signals,regular
25609370,highway,traffic_signals,regular
25647042,highway,traffic_signals,regular
25647094,highway,turning_circle,regular
25647232,highway,traffic_signals,regular
25656723,highway,traffic_signals,regular
25656743,noexit,yes,regular
25656746,highway,traffic_signals,regular
25656750,highway,traffic_signals,regular
25656753,highway,traffic_signals,regular
25656784,bicycle,yes,regular
25656784,highway,traffic_signals,regular
25656784,crossing,traffic_signals,regular
25656953,highway,traffic_signals,regular
25657183,highway,traffic_signals,regular
25657217,highway,traffic_signals,regular
25657517,highway,turning_circle,regular
25657879,highway,traffic_signals,regular
29277817,admin_level,4,regular
29277817,capital,4,regular
29277817,continent,Australia,is_in
29277817,country,Australia,is_in
29277817,country_code,AU,is_in
29277817,name,Perth,regular
29277817,ar,بيرث,name
29277817,de,Perth,name
29277817,fr,Perth,name
29277817,he,פרת,name
29277817,hi,पर्थ,name
29277817,is,Perth,name
29277817,ja,パース,name
29277817,kn,ಪರ್ತ್,name
29277817,lt,Pertas,name
29277817,pl,Perth,name
29277817,ru,Перт,name
29277817,sr,Перт,name
29277817,sv,Perth,name
29277817,uk,Перт,name
29277817,zh,珀斯,name
29277817,place,city,regular
29277817,population,1670953,regular
29277817,website,www.cityofperth.wa.gov.au,regular
29277817,wikipedia,"en:Perth, Western Australia",regular
30131201,created_by,JOSM,regular
30131376,created_by,JOSM,regular
30131378,created_by,JOSM,regular
30131798,created_by,JOSM,regular
30131803,created_by,JOSM,regular
30131804,created_by,JOSM,regular
30131805,created_by,JOSM,regular
30131806,created_by,JOSM,regular
30131807,created_by,JOSM,regular
30131808,created_by,JOSM,regular
30131809,created_by,JOSM,regular
30131810,created_by,JOSM,regular
30131811,created_by,JOSM,regular
30131812,created_by,JOSM,regular
30131815,created_by,JOSM,regular
30131816,created_by,JOSM,regular
30131817,created_by,JOSM,regular
30131819,created_by,JOSM,regular
30301317,leisure,slipway,regular
30732104,access,private,regular
30732104,leisure,slipway,regular
30733202,highway,traffic_signals,regular
30733233,highway,traffic_signals,regular
30736189,highway,traffic_signals,regular
30736219,highway,traffic_signals,regular
30742250,highway,traffic_signals,regular
30742277,highway,traffic_signals,regular
30742286,highway,traffic_signals,regular
